time,utilization
2026-05-25 12:30:18,82.10
2026-05-25 12:30:19,81.75
2026-05-25 12:30:20,81.76
2026-05-25 12:30:21,81.75
2026-05-25 12:30:22,81.75
2026-05-25 12:30:23,81.75
2026-05-25 12:30:24,83.45
2026-05-25 12:30:25,83.44
2026-05-25 12:30:26,83.56
2026-05-25 12:30:27,83.55
2026-05-25 12:30:28,83.61
2026-05-25 12:30:29,83.61
2026-05-25 12:30:30,83.68
2026-05-25 12:30:31,83.71
2026-05-25 12:30:32,83.69
2026-05-25 12:30:33,83.70
2026-05-25 12:30:34,83.62
2026-05-25 12:30:35,83.62
2026-05-25 12:30:36,83.62
2026-05-25 12:30:37,83.92
2026-05-25 12:30:38,84.00
2026-05-25 12:30:39,83.99
2026-05-25 12:30:40,83.98
2026-05-25 12:30:41,83.98
2026-05-25 12:30:42,83.95
2026-05-25 12:30:43,83.93
2026-05-25 12:30:44,83.92
2026-05-25 12:30:45,83.92
2026-05-25 12:30:46,83.92
2026-05-25 12:30:47,83.95
2026-05-25 12:30:48,83.94
2026-05-25 12:30:49,83.94
2026-05-25 12:30:50,83.95
2026-05-25 12:30:51,83.95
2026-05-25 12:30:52,83.90
2026-05-25 12:30:53,83.90
2026-05-25 12:30:54,83.91
2026-05-25 12:30:55,83.91
2026-05-25 12:30:56,83.91
2026-05-25 12:30:57,83.88
2026-05-25 12:30:58,84.04
2026-05-25 12:30:59,84.03
2026-05-25 12:31:00,84.02
2026-05-25 12:31:01,84.01
2026-05-25 12:31:02,81.92
2026-05-25 12:31:03,81.86
2026-05-25 12:31:04,81.85
2026-05-25 12:31:05,81.75
2026-05-25 12:31:06,81.74
2026-05-25 12:31:07,81.70
2026-05-25 12:31:08,81.70
2026-05-25 12:31:09,81.70
2026-05-25 12:31:10,81.70
2026-05-25 12:31:11,81.70
