time,utilization
2026-05-22 15:58:28,26.77
2026-05-22 15:58:29,26.77
2026-05-22 15:58:30,26.77
2026-05-22 15:58:31,26.77
2026-05-22 15:58:32,26.76
2026-05-22 15:58:33,26.95
2026-05-22 15:58:34,29.63
2026-05-22 15:58:35,30.95
2026-05-22 15:58:36,34.07
2026-05-22 15:58:37,35.48
2026-05-22 15:58:38,36.16
2026-05-22 15:58:39,36.16
2026-05-22 15:58:40,36.16
2026-05-22 15:58:41,36.28
2026-05-22 15:58:42,37.38
2026-05-22 15:58:43,37.25
2026-05-22 15:58:44,37.17
2026-05-22 15:58:45,37.32
2026-05-22 15:58:46,38.84
2026-05-22 15:58:47,39.57
2026-05-22 15:58:48,40.13
2026-05-22 15:58:49,40.58
2026-05-22 15:58:50,40.58
2026-05-22 15:58:51,40.58
2026-05-22 15:58:52,40.56
2026-05-22 15:58:53,40.53
2026-05-22 15:58:54,40.65
2026-05-22 15:58:55,41.10
2026-05-22 15:58:56,41.12
2026-05-22 15:58:57,40.93
2026-05-22 15:58:58,40.71
2026-05-22 15:58:59,40.67
2026-05-22 15:59:00,40.46
